0;8;5
1;11;6
1;6;5
2;5;2
2;2;7
3;2;4
3;3;10
4;12;10
4;13;6
5;2;9
6;9;5
6;4;10
7;14;7
7;10;10
8;1;6
9;2;10
10;4;1
11;9;9
11;12;8
11;14;8
11;6;5
11;10;6
12;7;3
12;3;5
13;7;9
14;4;6
15;13;7
16;10;5
17;11;7
17;3;10
18;5;4
19;0;2
19;4;6
20;3;4
21;10;6
21;1;10
22;10;5
22;6;8
22;2;9
23;2;9
24;14;2
25;8;5
25;4;6
25;6;7
26;1;5
26;4;6
26;5;10
26;7;7
27;3;1
28;8;10
28;7;6
28;14;5
29;10;8
30;12;9
31;5;9
31;10;6
31;6;7
32;2;9
32;3;7
33;12;9
33;13;7
33;5;6
34;3;7
34;0;9
35;14;2
35;4;8
35;8;8
36;6;9
36;7;9
37;14;9
37;0;9
38;5;7
38;0;8
39;9;6
39;3;10
40;12;4
41;0;3
41;7;9
41;9;8
42;13;8
42;6;9
42;14;8
43;5;10
44;11;3
44;8;9
45;2;6
45;10;9
46;0;8
47;10;10
48;5;5
48;0;10
49;12;8
49;4;10
49;7;7
49;13;5
50;3;2
51;2;10
51;1;10
52;6;10
53;12;3
53;4;10
53;13;6
54;9;5
54;0;8
55;4;6
55;11;10
56;10;6
56;11;10
57;7;2
58;10;2
58;11;9
58;1;10
59;7;5
59;5;8
60;7;2
60;14;8
60;12;9
61;4;6
62;0;8
62;10;5
62;1;5
63;6;6
64;7;2
65;11;9
65;13;5
66;2;8
67;3;10
67;10;7
68;11;1
68;13;8
69;4;1
69;12;10
70;5;6
71;8;10
71;2;8
71;6;8
72;12;10
72;4;9
73;14;2
73;9;10
74;13;4
74;4;8
74;2;6
75;8;4
76;1;5
76;3;10
77;7;9
77;1;10
78;7;6
79;2;9
79;14;10
80;2;6
81;4;2
81;11;10
81;0;8
81;6;7
82;10;8
83;10;6
83;1;9
84;2;7
85;10;5
85;4;9
86;14;3
86;7;10
87;0;1
87;7;10
88;1;3
89;6;2
90;10;9
90;8;5
90;9;10
91;8;7
92;5;5
93;13;4
93;5;5
94;2;4
94;7;7
94;4;7
95;11;5
96;7;9
97;10;2
97;13;10
98;14;10
98;5;8
98;11;5
99;7;3
99;8;9
99;13;6
15;10;8
